iter	MAE
0	0.6645489015
1	0.6608498411
2	0.6569086769
3	0.6527390341
4	0.648601416
5	0.64446646
6	0.6410023924
7	0.6374794833
8	0.6342670996
9	0.630379418
10	0.6266023283
11	0.6228035319
12	0.6191738655
13	0.6160958002
14	0.6125776162
15	0.6094311668
16	0.606511916
17	0.6030755064
18	0.600247835
19	0.597374143
20	0.5947993143
21	0.5917117032
22	0.5885979089
23	0.5861042379
24	0.583019307
25	0.5801610264
26	0.5770487362
27	0.5743737655
28	0.5719857486
29	0.569530118
30	0.5669466278
31	0.5641295086
32	0.5618412972
33	0.5594060528
34	0.5572638358
35	0.5546525379
36	0.5525360147
37	0.5501253045
38	0.5477907433
39	0.5457970642
40	0.5438440161
41	0.541726225
42	0.5394278398
43	0.5369671996
44	0.5351021568
45	0.5330093262
46	0.5309399429
47	0.5291125348
48	0.5272662178
49	0.5251198292
50	0.5236540067
51	0.5225637058
52	0.5207954818
53	0.5190831089
54	0.5170369684
55	0.5149887024
56	0.5134067143
57	0.5120262686
58	0.5105043929
59	0.5088719352
60	0.5074459396
61	0.5059053933
62	0.5043154035
63	0.5025340014
64	0.5008338919
65	0.4992702891
66	0.4977731849
67	0.4963092438
68	0.4952249628
69	0.4940196136
70	0.4925201478
71	0.4910792224
72	0.4897597137
73	0.4887423137
74	0.4873301005
75	0.4859992043
76	0.4845712651
77	0.4835063634
78	0.4823134965
79	0.4808619289
80	0.4794696073
81	0.4782647426
82	0.4773157251
83	0.4767579557
84	0.4754808024
85	0.474343642
86	0.473321815
87	0.4721622854
88	0.4709701074
89	0.4701871394
90	0.4692535503
91	0.4681576582
92	0.4670452536
93	0.466082652
94	0.4648727836
95	0.4638195025
96	0.4626327358
97	0.4616480281
98	0.4606658381
99	0.4597727969
100	0.4591067488
101	0.4581607484
102	0.4570067541
103	0.4563962532
104	0.455640098
105	0.4547386218
106	0.4538166878
107	0.4529724441
108	0.4518169036
109	0.4509672307
110	0.4501480114
111	0.4494399568
112	0.4488559429
113	0.448016846
114	0.4473465284
115	0.446579663
116	0.4459839905
117	0.4453946591
118	0.4445333423
119	0.4440510555
120	0.4434444985
121	0.4425342522
122	0.4418170294
123	0.4409427325
124	0.4402869173
125	0.439468539
126	0.438783426
127	0.4382111641
128	0.4377040049
129	0.4369069812
130	0.4360698208
131	0.4352544401
132	0.4342516206
133	0.433691075
134	0.4331139626
135	0.4324989694
136	0.4320355911
137	0.431411254
138	0.4308099264
139	0.4303813597
140	0.429464259
141	0.4290544947
142	0.42853734
143	0.4277894888
144	0.4273393543
145	0.4268551528
146	0.4263587111
147	0.4257232915
148	0.4253643319
149	0.4245980288
150	0.423971422
151	0.4236170472
152	0.4231589898
153	0.4223238283
154	0.4217522162
155	0.4212247396
156	0.4205129335
157	0.4200236724
158	0.4194364117
159	0.4190392465
160	0.4185243038
161	0.4178348069
162	0.4173208086
163	0.4169007872
164	0.4165610998
165	0.416207753
166	0.4157159397
167	0.415323532
168	0.414833776
169	0.4145885874
170	0.4141547688
171	0.413902142
172	0.4134339943
173	0.412893
174	0.4125112986
175	0.4121727992
176	0.4119280223
177	0.4114002015
178	0.4110677603
179	0.410610525
180	0.4101225247
181	0.4098008097
182	0.4094095959
183	0.4089342663
184	0.408607405
185	0.4081726374
186	0.4077869585
187	0.4074543778
188	0.4071204638
189	0.4067485088
190	0.406654869
191	0.4062735647
192	0.4058259027
193	0.4052824759
194	0.4050668843
195	0.4047960634
196	0.4045532256
197	0.4041240409
198	0.4038204663
199	0.403468399
200	0.4029923179
201	0.4026379358
202	0.4023637209
203	0.4019522897
204	0.401574547
205	0.4013692661
206	0.4011291738
207	0.4008009596
208	0.400459657
209	0.4001156984
210	0.3998872735
211	0.3996940139
212	0.3992091947
213	0.3988996393
214	0.398528661
215	0.3984634942
216	0.3982162944
217	0.3979268836
218	0.3976503055
219	0.3967672025
220	0.3965477504
221	0.3962868005
222	0.3960057541
223	0.3958499896
224	0.3955924365
225	0.3953457663
226	0.3950999933
227	0.3948663908
228	0.3948145388
229	0.3945405307
230	0.3943225858
231	0.394111391
232	0.3938429153
233	0.3936006658
234	0.3933728331
235	0.3931336341
236	0.3930823694
237	0.3926894511
238	0.3924698325
239	0.3922811499
240	0.3921355684
241	0.3918461543
242	0.3913497722
243	0.3909962666
244	0.3907928169
245	0.3904400257
246	0.3902927054
247	0.3901254118
248	0.3898633723
249	0.3891290769
250	0.3889103106
251	0.388879551
252	0.3883554143
253	0.3881575076
254	0.3879131548
255	0.3877080726
256	0.3872952324
257	0.3870142461
258	0.3867780485
259	0.3865274921
260	0.3863868018
261	0.3861928464
262	0.3859346698
263	0.3859050504
264	0.3855787534
265	0.3851914863
266	0.3850076902
267	0.3848113357
268	0.3844940242
269	0.3843828995
270	0.3838418218
271	0.3835462348
272	0.3833392944
273	0.3830102977
274	0.3828579037
275	0.3826214708
276	0.3823893813
277	0.3821647533
278	0.3817487467
279	0.381480173
280	0.3813262183
281	0.3809018605
282	0.380689664
283	0.3804783005
284	0.3800435839
285	0.3799138655
286	0.3797161486
287	0.3793438894
288	0.3790857883
289	0.3788764693
290	0.3787599671
291	0.3786111005
292	0.3783106783
293	0.3781938262
294	0.3779798935
295	0.3778346679
296	0.3776420914
297	0.3773051938
298	0.3770924355
299	0.3766661514
300	0.376332847
301	0.3761916265
302	0.3760465181
303	0.3758201965
304	0.3752818626
305	0.3751083485
306	0.3749637366
307	0.3745219014
308	0.3740477403
309	0.3738850786
310	0.3737129801
311	0.3735557094
312	0.3733167554
313	0.3731806232
314	0.3726245193
315	0.3724611996
316	0.3721354162
317	0.3717244104
318	0.3711133413
319	0.3707425597
320	0.3702502356
321	0.36971094
322	0.3693083992
323	0.3692081357
324	0.3689321422
325	0.3688139056
326	0.3686138712
327	0.3684403992
328	0.3683126711
