iter	Passed	Remaining
0	172	171870
1	322	161069
2	484	161127
3	644	160424
4	792	157647
5	948	157105
6	1183	167892
7	1346	166932
8	1530	168480
9	1676	165934
10	1807	162484
11	1939	159652
12	2079	157861
13	2216	156093
14	2345	154031
15	2495	153456
16	2688	155448
17	2853	155683
18	2983	154060
19	3117	152765
20	3255	151758
21	3390	150701
22	3533	150115
23	3666	149124
24	3797	148092
25	3929	147202
26	4062	146409
27	4196	145662
28	4331	145019
29	4465	144374
30	4592	143545
31	4722	142845
32	4853	142228
33	4986	141661
34	5116	141062
35	5250	140584
36	5378	139984
37	5513	139570
38	5639	138973
39	5770	138495
40	5907	138174
41	6035	137674
42	6167	137259
43	6299	136869
44	6426	136379
45	6558	136023
46	6687	135604
47	6819	135245
48	6948	134849
49	7119	135276
50	7250	134917
51	7280	132736
52	7410	132418
53	7542	132140
54	7676	131903
55	7808	131625
56	7941	131383
57	8071	131091
58	8203	130833
59	8331	130531
60	8461	130246
61	8589	129945
62	8723	129750
63	8861	129606
64	8999	129456
65	9129	129199
66	9255	128883
67	9386	128645
68	9519	128449
69	9645	128148
70	9788	128074
71	9917	127828
72	10043	127539
73	10177	127361
74	10306	127108
75	10434	126863
76	10568	126687
77	10702	126505
78	10828	126243
79	10962	126065
80	11092	125850
81	11263	126094
82	11440	126402
83	11489	125290
84	11627	125169
85	11762	125007
86	11894	124825
87	12025	124627
88	12162	124494
89	12300	124370
90	12425	124121
91	12552	123885
92	12686	123730
93	12817	123535
94	12986	123716
95	13117	123518
96	13246	123313
97	13377	123126
98	13508	122943
99	13639	122753
100	13767	122545
101	13899	122373
102	14027	122162
103	14153	121939
104	14282	121744
105	14412	121554
106	14541	121363
107	14673	121191
108	14805	121023
109	14932	120819
110	15061	120626
111	15194	120471
112	15320	120257
113	15454	120109
114	15583	119926
115	15708	119706
116	15836	119515
117	15966	119344
118	16095	119158
119	16225	118984
120	16359	118843
121	16487	118657
122	16615	118468
123	16744	118295
124	16873	118114
125	17002	117936
126	17132	117769
127	17263	117609
128	17385	117383
129	17520	117254
130	17651	117095
131	17781	116926
132	17914	116782
133	18046	116630
134	18174	116448
135	18305	116290
136	18475	116380
137	18605	116216
138	18737	116063
139	18864	115884
140	18992	115703
141	19118	115516
142	19245	115340
143	19375	115175
144	19499	114978
145	19628	114810
146	19760	114663
147	19892	114515
148	20024	114367
149	20156	114218
150	20285	114055
151	20418	113911
152	20543	113730
153	20675	113583
154	20806	113426
155	20933	113258
156	21066	113117
157	21193	112942
158	21320	112772
159	21451	112619
160	21580	112459
161	21709	112301
162	21839	112147
163	21966	111977
164	22098	111833
165	22234	111706
166	22366	111563
167	22503	111444
168	22640	111325
169	22775	111200
170	22921	111122
171	23075	111085
172	23241	111104
173	23382	110997
174	23532	110939
175	23893	111866
176	24063	111888
177	24265	112059
178	24420	112005
179	24560	111887
180	24721	111860
181	24899	111910
182	25069	111921
183	25224	111863
184	25372	111774
185	25523	111699
186	25678	111641
187	25816	111504
188	25946	111337
189	26080	111185
190	26113	110605
191	26276	110581
192	26426	110497
193	26571	110394
194	26707	110254
195	26842	110108
196	26983	109989
197	27112	109818
198	27238	109640
199	27368	109475
200	27495	109299
201	27626	109139
202	27751	108954
203	27885	108807
204	28016	108647
205	28146	108485
206	28276	108325
207	28411	108182
208	28540	108018
209	28671	107858
210	28801	107698
211	28999	107790
212	29136	107653
213	29273	107516
214	29451	107533
215	29474	106981
216	29623	106888
217	29770	106790
218	29916	106688
219	30048	106535
220	30183	106393
221	30317	106248
222	30452	106105
223	30602	106016
224	30768	105980
225	30910	105860
226	31046	105721
227	31177	105566
228	31203	105057
229	31347	104945
230	31532	104972
231	31673	104851
232	31802	104688
233	31931	104527
234	32061	104370
235	32188	104203
236	32215	103715
237	32352	103583
238	32481	103422
239	32609	103263
240	32738	103105
241	32872	102965
242	32998	102798
243	33125	102633
244	33254	102477
245	33380	102313
246	33431	101919
247	33563	101773
248	33692	101617
249	33821	101464
250	33954	101322
251	33981	100866
252	34114	100724
253	34244	100576
254	34370	100414
255	34494	100248
256	34621	100093
257	34761	99974
258	34965	100037
259	35119	99955
260	35268	99859
261	35412	99748
262	35550	99622
263	35587	99214
264	35717	99064
265	35914	99102
266	36057	98989
267	36194	98860
268	36336	98744
269	36488	98654
270	36632	98541
271	36775	98428
272	36907	98284
273	37037	98137
274	37170	97995
275	37301	97847
276	37431	97701
277	37565	97563
278	37693	97408
279	37822	97257
280	37952	97110
281	38084	96967
282	38213	96815
283	38340	96660
284	38471	96515
285	38603	96373
286	38732	96224
287	38868	96090
288	39001	95951
289	39132	95808
290	39262	95660
291	39396	95523
292	39527	95379
293	39662	95243
294	39794	95101
295	39923	94953
296	40067	94839
297	40221	94750
298	40352	94605
299	40484	94463
300	40619	94329
301	40747	94177
302	40875	94027
303	41007	93885
304	41138	93741
305	41266	93592
306	41398	93450
307	41536	93322
308	41666	93177
309	41798	93034
310	41926	92886
311	42056	92739
312	42189	92600
313	42315	92447
314	42441	92294
315	42577	92161
316	42703	92007
317	42835	91868
318	42967	91727
319	43099	91587
320	43229	91441
321	43361	91302
322	43490	91154
323	43615	91000
324	43748	90862
325	43878	90717
326	44006	90569
327	44135	90424
328	44273	90295
